"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"237","Trinidad and Tobago moist forests","NT0171","Tropical Moist Forest",-61.375,10.375,"mammal_num",36,"Species Data"
"238","Uatuma-Trombetas moist forests","NT0173","Tropical Moist Forest",-56.78,-0.333,"mammal_num",207,"Species Data"
"239","Ucayali moist forests","NT0174","Tropical Moist Forest",-76.047,-7.326,"mammal_num",237,"Species Data"
"240","Venezuelan Andes montane forests","NT0175","Tropical Moist Forest",-70.663,8.946,"mammal_num",225,"Species Data"
"241","Veracruz moist forests","NT0176","Tropical Moist Forest",-98.293,21.946,"mammal_num",149,"Species Data"
"242","Veracruz montane forests","NT0177","Tropical Moist Forest",-98.25,20.5,"mammal_num",128,"Species Data"
"243","Western Ecuador moist forests","NT0178","Tropical Moist Forest",-79.5,-0.712,"mammal_num",151,"Species Data"
"244","Windward Islands moist forests","NT0179","Tropical Moist Forest",-61.25,10.75,"mammal_num",19,"Species Data"
"245","Xingu-Tocantins-Araguaia moist forests","NT0180","Tropical Moist Forest",-50.728,-6.112,"mammal_num",176,"Species Data"
"246","Yucatan moist forests","NT0181","Tropical Moist Forest",-88.789,19.221,"mammal_num",111,"Species Data"
"247","Guianan piedmont and lowland moist forests","NT0182","Tropical Moist Forest",-64.043,4.11,"mammal_num",227,"Species Data"
"248","Apure-Villavicencio dry forests","NT0201","Tropical Deciduous Forest",-71.617,6.317,"mammal_num",238,"Species Data"
